"id","id_produto","order_id","codigo","descricao","unidade","quantidade","valor_unitario","createdAt","updatedAt"
964,"797957963","801979957","5489.105-1","Sandália Moleca Flatform Confortável Feminina 5489.105 - 33 - Off-White","PR","1.00","119.90","2024-07-19 14:13:28.029+00","2024-07-19 14:13:28.029+00"
965,"797409692","803030434","C224003-38","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino  - 38 - Off-White","PR","1.00","104.90","2024-07-19 14:13:28.705+00","2024-07-19 14:13:28.705+00"
966,"797409689","803311570","C224003-37","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino  - 37 - Off-White","PR","1.00","104.90","2024-07-19 14:13:29.43+00","2024-07-19 14:13:29.43+00"
967,"797409686","803571891","C224003-36","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino  - 36 - Off-White","PR","1.00","104.90","2024-07-19 14:13:30.075+00","2024-07-19 14:13:30.075+00"
968,"797956352","803828875","5489.100-16","Tamanco Moleca Asa Delta Flatform Feminino 5489.100 - 36 - Preto","PR","1.00","109.90","2024-07-19 14:13:30.791+00","2024-07-19 14:13:30.791+00"
969,"797409683","803839650","C224003-35","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino  - 35 - Off-White","PR","1.00","104.90","2024-07-19 14:13:31.48+00","2024-07-19 14:13:31.48+00"
970,"797409689","803843666","C224003-37","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino  - 37 - Off-White","PR","1.00","104.90","2024-07-19 14:13:32.16+00","2024-07-19 14:13:32.16+00"
971,"797956334","803900711","5489.100-12","Tamanco Moleca Asa Delta Flatform Feminino 5489.100 - 35 - Preto","PR","1.00","109.90","2024-07-19 14:13:32.807+00","2024-07-19 14:13:32.807+00"
972,"797409683","803907919","C224003-35","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino  - 35 - Off-White","PR","1.00","104.90","2024-07-19 14:14:01.648+00","2024-07-19 14:14:01.648+00"
973,"797956356","803914382","5489.100-17","Tamanco Moleca Asa Delta Flatform Feminino 5489.100 - 37 - Off-White","PR","1.00","109.90","2024-07-19 14:14:03.041+00","2024-07-19 14:14:03.041+00"
