"id","codigo","nome","data_criacao","gtin","localizacao","situacao","preco","preco_promocional","preco_custo","preco_custo_medio","unidade","tipoVariacao","descricao","valor_unitario","quantidade","fornecedor","estoque","categoria","marca","createdAt","updatedAt"
"797409683","C224003-35","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 35 - Off-White","08/02/2024 21:00:22","7890763325679","","A","119.90","109.90","42.90","44.33","PR","V",NULL,"0.00","1","A. GRINGS S.A.",0,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:12.573+00","2025-04-11 14:30:23.444+00"
"797409686","C224003-36","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 36 - Off-White","08/02/2024 21:00:22","7890763325693","","A","119.90","109.90","42.90","44.14","PR","V",NULL,"0.00","1","A. GRINGS S.A.",5,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:15.684+00","2025-04-11 14:30:27.664+00"
"797409689","C224003-37","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 37 - Off-White","08/02/2024 21:00:23","7890763325709","","A","119.90","109.90","42.90","44.00","PR","V",NULL,"0.00","1","A. GRINGS S.A.",9,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:18.87+00","2025-04-11 14:31:04.139+00"
"797409692","C224003-38","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 38 - Off-White","08/02/2024 21:00:23","7890763325716","","A","119.90","109.90","42.90","43.65","PR","V",NULL,"0.00","1","A. GRINGS S.A.",8,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:21.488+00","2025-04-11 14:31:10.591+00"
"797409695","C224003-39","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 39 - Off-White","08/02/2024 21:00:23","7890763325723","","A","119.90","109.90","42.91","42.91","PR","V",NULL,"0.00","1","A. GRINGS S.A.",0,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:23.966+00","2025-04-11 14:31:16.302+00"
"797931868","RA00010006","Tênis Rainha VL 2500 Futsal Masculino Adulto RA00010006","13/02/2024 14:54:38","","","A","179.90","0.00","0.00","0.00","PR","P",NULL,"0.00","1","TOPSHOES INDUSTRIA DE CALCADOS SA",0,"MASCULINO >> TÊNIS CASUAL","Rainha","2024-07-19 14:11:09.141+00","2025-04-01 16:58:06.019+00"
"797933903","C224003","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003","13/02/2024 15:03:27","","","A","119.90","109.90","0.00","0.00","PR","P",NULL,"0.00","1","A. GRINGS S.A.",0,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:05.19+00","2025-04-11 14:30:12.682+00"
"797937448","C224003-8","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 35 - Preto","13/02/2024 15:26:52","7890763325594","","A","119.90","109.90","42.90","45.14","PR","V",NULL,"0.00","1","A. GRINGS S.A.",28,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:13.699+00","2025-04-11 14:30:24.327+00"
"797937452","C224003-9","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 36 - Preto","13/02/2024 15:26:52","7890763325600","","A","119.90","109.90","42.90","44.77","PR","V",NULL,"0.00","1","A. GRINGS S.A.",41,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:16.591+00","2025-04-11 14:30:28.448+00"
"797937456","C224003-10","Chinelo Piccadilly Marshmallow Nuvem de Dedo EVA Feminino C224003 - 37 - Preto","13/02/2024 15:26:52","7890763325617","","A","119.90","109.90","42.90","45.14","PR","V",NULL,"0.00","1","A. GRINGS S.A.",60,"FEMININO >> CHINELOS","Piccadilly","2024-07-19 13:24:19.759+00","2025-04-11 14:31:05.698+00"
